1.000000000000000021e-02,9.800000000000000000e+01,9.574000000000000909e+01,9.767000000000000171e+01
1.999999999999999695e-02,9.800000000000000000e+01,9.045999999999999375e+01,9.759000000000000341e+01
2.999999999999999889e-02,9.800000000000000000e+01,8.323000000000000398e+01,9.761999999999999034e+01
3.999999999999999389e-02,9.800000000000000000e+01,7.112000000000000455e+01,9.759999999999999432e+01
4.999999999999999584e-02,9.800000000000000000e+01,5.773000000000000398e+01,9.754999999999999716e+01
5.999999999999999084e-02,9.800000000000000000e+01,4.593999999999999773e+01,9.750999999999999091e+01
6.999999999999999278e-02,9.800000000000000000e+01,3.613000000000000256e+01,9.745000000000000284e+01
7.999999999999998779e-02,9.800000000000000000e+01,2.908999999999999986e+01,9.739000000000000057e+01
8.999999999999998279e-02,9.800000000000000000e+01,2.360999999999999943e+01,9.726999999999999602e+01
9.999999999999997780e-02,9.800000000000000000e+01,1.930999999999999872e+01,9.723000000000000398e+01
1.099999999999999728e-01,9.800000000000000000e+01,1.610999999999999943e+01,9.717000000000000171e+01
1.199999999999999817e-01,9.800000000000000000e+01,1.328999999999999915e+01,9.707999999999999829e+01
1.299999999999999767e-01,9.800000000000000000e+01,1.133000000000000007e+01,9.693999999999999773e+01
1.399999999999999856e-01,9.800000000000000000e+01,9.429999999999999716e+00,9.679999999999999716e+01
1.499999999999999944e-01,9.800000000000000000e+01,7.900000000000000355e+00,9.670000000000000284e+01
1.599999999999999756e-01,9.800000000000000000e+01,6.879999999999999893e+00,9.663000000000000966e+01
1.699999999999999845e-01,9.800000000000000000e+01,5.940000000000000391e+00,9.659000000000000341e+01
1.799999999999999933e-01,9.800000000000000000e+01,5.290000000000000036e+00,9.654000000000000625e+01
1.899999999999999745e-01,9.800000000000000000e+01,4.569999999999999396e+00,9.650999999999999091e+01
1.999999999999999833e-01,9.800000000000000000e+01,4.000000000000000000e+00,9.639999999999999147e+01
2.099999999999999645e-01,9.800000000000000000e+01,3.500000000000000444e+00,9.632999999999999829e+01
2.199999999999999734e-01,9.800000000000000000e+01,3.209999999999999520e+00,9.626999999999999602e+01
2.299999999999999822e-01,9.800000000000000000e+01,3.000000000000000000e+00,9.607999999999999829e+01
2.399999999999999634e-01,9.800000000000000000e+01,2.740000000000000213e+00,9.604999999999999716e+01
2.499999999999999722e-01,9.800000000000000000e+01,2.549999999999999822e+00,9.596000000000000796e+01
2.599999999999999534e-01,9.800000000000000000e+01,2.380000000000000338e+00,9.584000000000000341e+01
2.699999999999999623e-01,9.800000000000000000e+01,2.259999999999999787e+00,9.582000000000000739e+01
2.799999999999999711e-01,9.800000000000000000e+01,2.120000000000000107e+00,9.571999999999999886e+01
2.899999999999999800e-01,9.800000000000000000e+01,1.959999999999999964e+00,9.557999999999999829e+01
2.999999999999999889e-01,9.800000000000000000e+01,1.799999999999999822e+00,9.543999999999999773e+01
